"","state","contest_date","name","date","market_close","market_volume","poll_estimate","poll_trend_adjusted","date_dropped"
"45","Wisconsin",2020-04-07,"Andrew Yang",2020-01-21,0.03,1,0.03165971,0.0358,2020-02-11
"46","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-21,0.08,5,0.1016828,0.1032,2020-03-01
"47","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-21,0.01,0,0.01519171,0.0171,2020-03-19
"48","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-21,0.03,82,0.06080359,0.0683,2020-03-04
"49","Wisconsin",2020-04-07,"Joe Biden",2020-01-22,0.32,176,0.2204099,0.2183,NA
"50","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-22,0.49,1324,0.2074959,0.226,2020-04-08
"51","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-22,0.08,77,0.1676119,0.1568,2020-03-05
"52","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-22,0.03,310,0.03042424,0.0356,2020-03-02
"53","Wisconsin",2020-04-07,"Andrew Yang",2020-01-22,0.03,0,0.03163592,0.0345,2020-02-11
"54","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-22,0.08,22,0.09757229,0.1026,2020-03-01
"55","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-22,0.01,0,0.01405571,0.0152,2020-03-19
"56","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-22,0.03,50,0.07133077,0.076,2020-03-04
"57","Wisconsin",2020-04-07,"Joe Biden",2020-01-23,0.3,101,0.2213253,0.2199,NA
"58","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-23,0.5,144,0.2060987,0.2308,2020-04-08
"59","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-23,0.07,1,0.1703164,0.1545,2020-03-05
"60","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-23,0.03,0,0.02989324,0.036,2020-03-02
"61","Wisconsin",2020-04-07,"Andrew Yang",2020-01-23,0.03,151,0.03122597,0.0378,2020-02-11
"62","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-23,0.08,1,0.09667844,0.0992,2020-03-01
"63","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-23,0.01,0,0.01404582,0.0148,2020-03-19
"64","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-23,0.05,423,0.07044877,0.0774,2020-03-04
"65","Wisconsin",2020-04-07,"Joe Biden",2020-01-24,0.32,155,0.2213107,0.22,NA
"66","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-24,0.5,223,0.2060949,0.2304,2020-04-08
"67","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-24,0.07,41,0.1703177,0.1541,2020-03-05
"68","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-24,0.03,0,0.02988966,0.0358,2020-03-02
"69","Wisconsin",2020-04-07,"Andrew Yang",2020-01-24,0.03,0,0.03121815,0.0368,2020-02-11
"70","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-24,0.07,24,0.09666444,0.0994,2020-03-01
"71","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-24,0.01,0,0.01404222,0.0142,2020-03-19
"72","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-24,0.05,75,0.07045842,0.0771,2020-03-04
"73","Wisconsin",2020-04-07,"Joe Biden",2020-01-25,0.3,209,0.2214202,0.2201,NA
"74","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-25,0.5,895,0.2058204,0.2301,2020-04-08
"75","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-25,0.05,863,0.1703336,0.1541,2020-03-05
"76","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-25,0.02,502,0.02989106,0.0358,2020-03-02
"77","Wisconsin",2020-04-07,"Andrew Yang",2020-01-25,0.03,121,0.03120415,0.0368,2020-02-11
"78","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-25,0.06,25,0.09651863,0.0992,2020-03-01
"79","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-25,0.01,0,0.01405322,0.0142,2020-03-19
"80","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-25,0.04,161,0.07046827,0.0771,2020-03-04
"81","Wisconsin",2020-04-07,"Joe Biden",2020-01-26,0.3,152,0.2222715,0.222,NA
"82","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-26,0.53,17,0.2053497,0.2302,2020-04-08
"83","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-26,0.07,277,0.1701282,0.1526,2020-03-05
"84","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-26,0.03,383,0.03005404,0.0362,2020-03-02
"85","Wisconsin",2020-04-07,"Andrew Yang",2020-01-26,0.03,409,0.03109373,0.038,2020-02-11
"86","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-26,0.04,364,0.0963504,0.0976,2020-03-01
"87","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-26,0.01,0,0.01438298,0.0129,2020-03-19
"88","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-26,0.04,315,0.06983275,0.0771,2020-03-04
"89","Wisconsin",2020-04-07,"Joe Biden",2020-01-27,0.29,1,0.2225238,0.2214,NA
"90","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-27,0.52,119,0.2054922,0.2306,2020-04-08
"91","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-27,0.11,180,0.1697511,0.1504,2020-03-05
"92","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-27,0.03,0,0.03013151,0.0362,2020-03-02
"93","Wisconsin",2020-04-07,"Andrew Yang",2020-01-27,0.03,0,0.03108684,0.0376,2020-02-11
"94","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-27,0.05,51,0.09641013,0.0977,2020-03-01
"95","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-27,0.01,0,0.01447087,0.0129,2020-03-19
"96","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-27,0.05,71,0.06821196,0.0777,2020-03-04
"97","Wisconsin",2020-04-07,"Joe Biden",2020-01-28,0.29,87,0.224634,0.2211,NA
"98","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-28,0.55,43,0.2019621,0.2345,2020-04-08
"99","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-28,0.11,98,0.1758615,0.1499,2020-03-05
"100","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-28,0.02,76,0.02895574,0.039,2020-03-02
"101","Wisconsin",2020-04-07,"Andrew Yang",2020-01-28,0.03,0,0.03010239,0.0379,2020-02-11
"102","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-28,0.04,105,0.09426069,0.0961,2020-03-01
"103","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-28,0.01,0,0.01445199,0.0117,2020-03-19
"104","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-28,0.04,261,0.06629107,0.0808,2020-03-04
"105","Wisconsin",2020-04-07,"Joe Biden",2020-01-29,0.29,202,0.2247008,0.2208,NA
"106","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-29,0.55,91,0.2018825,0.2349,2020-04-08
"107","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-29,0.1,37,0.1761744,0.1542,2020-03-05
"108","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-29,0.02,200,0.02911289,0.0396,2020-03-02
"109","Wisconsin",2020-04-07,"Andrew Yang",2020-01-29,0.02,100,0.03008827,0.0376,2020-02-11
"110","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-29,0.04,20,0.09426525,0.0947,2020-03-01
"111","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-29,0.01,0,0.01443384,0.0128,2020-03-19
"112","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-29,0.06,412,0.06622279,0.0787,2020-03-04
"113","Wisconsin",2020-04-07,"Joe Biden",2020-01-30,0.29,0,0.2250359,0.2195,NA
"114","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-30,0.53,2,0.2006156,0.2311,2020-04-08
"115","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-30,0.1,542,0.1785436,0.1524,2020-03-05
"116","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-30,0.02,0,0.02884139,0.0383,2020-03-02
"117","Wisconsin",2020-04-07,"Andrew Yang",2020-01-30,0.03,1567,0.02990174,0.0373,2020-02-11
"118","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-30,0.05,303,0.09352196,0.0896,2020-03-01
"119","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-30,0.01,0,0.01415809,0.0125,2020-03-19
"120","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-30,0.07,405,0.06491472,0.0811,2020-03-04
"121","Wisconsin",2020-04-07,"Joe Biden",2020-01-31,0.28,262,0.2241641,0.22,NA
"122","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-31,0.53,440,0.1994439,0.2299,2020-04-08
"123","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-31,0.04,133,0.1788263,0.1522,2020-03-05
"124","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-31,0.03,215,0.02898819,0.0392,2020-03-02
"125","Wisconsin",2020-04-07,"Andrew Yang",2020-01-31,0.02,58,0.02984653,0.0365,2020-02-11
"126","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-31,0.04,61,0.09322662,0.0918,2020-03-01
"127","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-31,0.01,0,0.01417644,0.013,2020-03-19
"128","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-31,0.13,1726,0.06500448,0.0814,2020-03-04
"129","Wisconsin",2020-04-07,"Joe Biden",2020-02-01,0.28,171,0.2240738,0.2199,NA
"130","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-01,0.54,189,0.1994725,0.2299,2020-04-08
"131","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-01,0.07,436,0.178844,0.1522,2020-03-05
"132","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-01,0.03,118,0.02898288,0.0392,2020-03-02
"133","Wisconsin",2020-04-07,"Andrew Yang",2020-02-01,0.03,229,0.02983923,0.0365,2020-02-11
"134","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-01,0.03,78,0.0932103,0.0918,2020-03-01
"135","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-01,0.01,0,0.01417644,0.013,2020-03-19
"136","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-01,0.13,335,0.06502293,0.0815,2020-03-04
"137","Wisconsin",2020-04-07,"Joe Biden",2020-02-02,0.28,172,0.2239283,0.2198,NA
"138","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-02,0.59,601,0.1994876,0.23,2020-04-08
"139","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-02,0.04,201,0.179082,0.1523,2020-03-05
"140","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-02,0.04,1364,0.02891659,0.0391,2020-03-02
"141","Wisconsin",2020-04-07,"Andrew Yang",2020-02-02,0.04,355,0.02992137,0.0366,2020-02-11
"142","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-02,0.03,297,0.09316855,0.0917,2020-03-01
"143","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-02,0.01,0,0.01426185,0.0131,2020-03-19
"144","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-02,0.12,731,0.06508455,0.0816,2020-03-04
"145","Wisconsin",2020-04-07,"Joe Biden",2020-02-03,0.19,460,0.2253284,0.2198,NA
"146","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-03,0.61,209,0.1972441,0.2326,2020-04-08
"147","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-03,0.03,209,0.1829745,0.1491,2020-03-05
"148","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-03,0.01,300,0.02817049,0.039,2020-03-02
"149","Wisconsin",2020-04-07,"Andrew Yang",2020-02-03,0.03,66,0.02929413,0.0369,2020-02-11
"150","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-03,0.05,1338,0.0918091,0.0923,2020-03-01
"151","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-03,0.01,0,0.01422058,0.0134,2020-03-19
"152","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-03,0.07,708,0.0639945,0.0854,2020-03-04
"153","Wisconsin",2020-04-07,"Joe Biden",2020-02-04,0.11,10,0.225535,0.2184,NA
"154","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-04,0.68,360,0.1987481,0.2361,2020-04-08
"155","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-04,0.01,2350,0.1821259,0.1504,2020-03-05
"156","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-04,0.01,53,0.02823148,0.0383,2020-03-02
"157","Wisconsin",2020-04-07,"Andrew Yang",2020-02-04,0.02,2310,0.02918525,0.0355,2020-02-11
"158","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-04,0.16,519,0.0926663,0.0909,2020-03-01
"159","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-04,0.01,0,0.01400683,0.0141,2020-03-19
"160","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-04,0.13,451,0.06383569,0.0846,2020-03-04
"161","Wisconsin",2020-04-07,"Joe Biden",2020-02-05,0.1,100,0.229336,0.2054,NA
"162","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-05,0.63,384,0.1908047,0.2189,2020-04-08
"163","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-05,0.03,1172,0.1941276,0.1618,2020-03-05
"164","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-05,0.02,26,0.02597091,0.0506,2020-03-02
"165","Wisconsin",2020-04-07,"Andrew Yang",2020-02-05,0.01,1001,0.02742237,0.0298,2020-02-11
"166","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-05,0.12,120,0.08788235,0.091,2020-03-01
"167","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-05,0.01,0,0.01415091,0.0248,2020-03-19
"168","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-05,0.13,0,0.06040062,0.0886,2020-03-04
"169","Wisconsin",2020-04-07,"Joe Biden",2020-02-06,0.11,158,0.2288717,0.2093,NA
"170","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-06,0.66,664,0.1914176,0.2386,2020-04-08
"171","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-06,0.03,411,0.1931847,0.1415,2020-03-05
"172","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-06,0.01,110,0.02620848,0.041,2020-03-02
"173","Wisconsin",2020-04-07,"Andrew Yang",2020-02-06,0.01,199,0.02757611,0.0377,2020-02-11
"174","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-06,0.12,682,0.08833132,0.1057,2020-03-01
"175","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-06,0.01,0,0.01422506,0.0248,2020-03-19
"176","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-06,0.09,113,0.06090062,0.1109,2020-03-04
"177","Wisconsin",2020-04-07,"Joe Biden",2020-02-07,0.11,28,0.2287777,0.2092,NA
"178","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-07,0.61,236,0.191405,0.2386,2020-04-08
"179","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-07,0.03,1027,0.193252,0.1416,2020-03-05
"180","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-07,0.03,1001,0.0262053,0.041,2020-03-02
"181","Wisconsin",2020-04-07,"Andrew Yang",2020-02-07,0.01,1429,0.02758888,0.0377,2020-02-11
"182","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-07,0.15,730,0.08842615,0.1058,2020-03-01
"183","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-07,0.01,0,0.01416641,0.0248,2020-03-19
"184","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-07,0.16,590,0.06090062,0.1109,2020-03-04
"185","Wisconsin",2020-04-07,"Joe Biden",2020-02-08,0.1,136,0.2288033,0.2092,NA
"186","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-08,0.55,682,0.1913937,0.2386,2020-04-08
"187","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-08,0.03,137,0.1932379,0.1416,2020-03-05
"188","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-08,0.02,529,0.02617513,0.0409,2020-03-02
"189","Wisconsin",2020-04-07,"Andrew Yang",2020-02-08,0.02,139,0.0276019,0.0378,2020-02-11
"190","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-08,0.2,303,0.08838721,0.1057,2020-03-01
"191","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-08,0.01,0,0.01419548,0.0248,2020-03-19
"192","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-08,0.14,139,0.06093721,0.1109,2020-03-04
"193","Wisconsin",2020-04-07,"Joe Biden",2020-02-09,0.12,164,0.2288165,0.2092,NA
"194","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-09,0.59,323,0.1913174,0.2385,2020-04-08
"195","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-09,0.03,136,0.193262,0.1416,2020-03-05
"196","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-09,0.03,353,0.02614889,0.0409,2020-03-02
"197","Wisconsin",2020-04-07,"Andrew Yang",2020-02-09,0.01,1022,0.02763183,0.0378,2020-02-11
"198","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-09,0.15,419,0.08836735,0.1057,2020-03-01
"199","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-09,0.01,0,0.0141828,0.0248,2020-03-19
"200","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-09,0.14,431,0.06092077,0.1109,2020-03-04
"201","Wisconsin",2020-04-07,"Joe Biden",2020-02-10,0.1,34,0.2289737,0.1762,NA
"202","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-10,0.58,183,0.1908846,0.2361,2020-04-08
"203","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-10,0.03,35,0.1940345,0.1395,2020-03-05
"204","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-10,0.03,52,0.02603655,0.0405,2020-03-02
"205","Wisconsin",2020-04-07,"Andrew Yang",2020-02-10,0.01,211,0.02746544,0.0342,2020-02-11
"206","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-10,0.14,419,0.08809062,0.1112,2020-03-01
"207","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-10,0.01,0,0.01420061,0.0158,2020-03-19
"208","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-10,0.12,920,0.06075471,0.1261,2020-03-04
"209","Wisconsin",2020-04-07,"Joe Biden",2020-02-11,0.03,959,0.2288278,0.1674,NA
"210","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-11,0.66,782,0.1909792,0.2422,2020-04-08
"211","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-11,0.01,516,0.1940294,0.1395,2020-03-05
"212","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-11,0.17,4576,0.02608452,0.0432,2020-03-02
"213","Wisconsin",2020-04-07,"Andrew Yang",2020-02-11,0.01,1306,0.02747551,0.0326,2020-02-11
"214","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-11,0.11,1098,0.0881769,0.1169,2020-03-01
"215","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-11,0.01,0,0.01419632,0.0145,2020-03-19
"216","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-11,0.17,1838,0.06073354,0.1249,2020-03-04
"217","Wisconsin",2020-04-07,"Joe Biden",2020-02-12,0.03,919,0.2288696,0.1648,NA
"218","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-12,0.68,2654,0.1910143,0.2373,2020-04-08
"219","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-12,0.01,2350,0.1943084,0.1361,2020-03-05
"220","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-12,0.11,1260,0.02612179,0.0466,2020-03-02
"221","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-12,0.13,1189,0.08825776,0.1173,2020-03-01
"222","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-12,0.01,0,0.01410716,0.0176,2020-03-19
"223","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-12,0.16,752,0.06066888,0.1277,2020-03-04
"224","Wisconsin",2020-04-07,"Joe Biden",2020-02-13,0.04,340,0.2289285,0.1406,NA
"225","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-13,0.57,862,0.1910058,0.2488,2020-04-08
"226","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-13,0.01,262,0.194201,0.1227,2020-03-05
"227","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-13,0.06,1262,0.02612094,0.0497,2020-03-02
"228","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-13,0.05,415,0.08824047,0.1338,2020-03-01
"229","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-13,0.01,0,0.01410161,0.0171,2020-03-19
"230","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-13,0.3,1801,0.06057538,0.153,2020-03-04
"231","Wisconsin",2020-04-07,"Joe Biden",2020-02-14,0.05,377,0.2287544,0.1408,NA
"232","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-14,0.63,445,0.1910811,0.2488,2020-04-08
"233","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-14,0.02,1029,0.1941059,0.1227,2020-03-05
"234","Wisconsin",2020-04-07,"Amy Klobuchar",2020-02-14,0.05,471,0.02625662,0.0499,2020-03-02
"235","Wisconsin",2020-04-07,"Pete Buttigieg",2020-02-14,0.1,771,0.08832327,0.1337,2020-03-01
"236","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-02-14,0.01,0,0.01405002,0.0171,2020-03-19
"237","Wisconsin",2020-04-07,"Michael Bloomberg",2020-02-14,0.24,349,0.06062923,0.1529,2020-03-04
"238","Wisconsin",2020-04-07,"Joe Biden",2020-02-15,0.05,31,0.2287544,0.1408,NA
"239","Wisconsin",2020-04-07,"Bernie Sanders",2020-02-15,0.63,34,0.1910811,0.2488,2020-04-08
"240","Wisconsin",2020-04-07,"Elizabeth Warren",2020-02-15,0.01,25,0.1941059,0.1227,2020-03-05
